year,trade_flow,partner,trade_value_usd
2015,Export,Albania,104943.0
2015,Export,Algeria,5405850.0
2015,Export,Andorra,15173.0
2015,Export,Angola,1162278.0
2015,Export,Antigua and Barbuda,120244.0
2015,Export,Argentina,269317.0
2015,Export,Australia,128354.0
2015,Export,Austria,273399.0
2015,Export,Azerbaijan,55877.0
2015,Export,Bahrain,5058553.0
2015,Export,Bangladesh,71307047.0
2015,Export,Barbados,34699.0
2015,Export,Belgium,194323729.0
2015,Export,Benin,14918312.0
2015,Export,Bolivia (Plurinational State of),17526.0
2015,Export,Brazil,2579626.0
2015,Export,Bulgaria,94510.0
2015,Export,Burkina Faso,3702279.0
2015,Export,Burundi,357.0
2015,Export,Cabo Verde,23328.0
2015,Export,Canada,2051446.0
2015,Export,Central African Rep.,26674639.0
2015,Export,Chad,112825323.0
2015,Export,China,506026663.0
2015,Export,"China, Hong Kong SAR",374432.0
2015,Export,Colombia,28522.0
2015,Export,Comoros,34594.0
2015,Export,Congo,50329355.0
2015,Export,Costa Rica,54165.0
2015,Export,Croatia,356396.0
2015,Export,Curaçao,31487508.0
2015,Export,Cyprus,85812.0
2015,Export,Côte d'Ivoire,15936008.0
2015,Export,Dem. People's Rep. of Korea,201306.0
2015,Export,Dem. Rep. of the Congo,40529950.0
2015,Export,Denmark,8735199.0
2015,Export,Djibouti,105960.0
2015,Export,Dominican Rep.,1255497.0
2015,Export,Ecuador,94177.0
2015,Export,Egypt,2542811.0
2015,Export,Equatorial Guinea,27741146.0
2015,Export,Estonia,172969.0
2015,Export,Ethiopia,337531.0
2015,Export,Finland,1575687.0
2015,Export,Fr. South Antarctic Terr.,707.0
2015,Export,France,208922029.0
2015,Export,French Polynesia,37650.0
2015,Export,Gabon,52236711.0
2015,Export,Gambia,82363.0
2015,Export,Germany,35932570.0
2015,Export,Ghana,1817665.0
2015,Export,Greece,2054431.0
2015,Export,Haiti,113845.0
2015,Export,India,632743481.0
2015,Export,Indonesia,20430089.0
2015,Export,Iran,171089.0
2015,Export,Iraq,216186.0
2015,Export,Ireland,8497743.0
2015,Export,Israel,509081.0
2015,Export,Italy,187598760.0
2015,Export,Japan,1583312.0
2015,Export,Jordan,26555.0
2015,Export,Kenya,484.0
2015,Export,Kuwait,232977.0
2015,Export,Kyrgyzstan,30490.0
2015,Export,Latvia,69202.0
2015,Export,Lebanon,2865832.0
2015,Export,Liberia,4853361.0
2015,Export,Libya,248808.0
2015,Export,Lithuania,45228.0
2015,Export,Luxembourg,19396.0
2015,Export,Madagascar,93270.0
2015,Export,Malaysia,72525561.0
2015,Export,Mali,890959.0
2015,Export,Malta,10556519.0
2015,Export,Mauritania,341431.0
2015,Export,Mauritius,1757717.0
2015,Export,Mexico,147041.0
2015,Export,Morocco,2310536.0
2015,Export,Mozambique,341994.0
2015,Export,Namibia,140988.0
2015,Export,Netherlands,659765948.0
2015,Export,New Zealand,324673.0
2015,Export,Nigeria,42362990.0
2015,Export,Norway,55871690.0
2015,Export,Oman,117697.0
2015,Export,"Other Asia, nes",1628001.0
2015,Export,Pakistan,1430635.0
2015,Export,Papua New Guinea,5824.0
2015,Export,Peru,6253.0
2015,Export,Philippines,271352.0
2015,Export,Poland,4120366.0
2015,Export,Portugal,285940258.0
2015,Export,Qatar,237568.0
2015,Export,Rep. of Korea,496274.0
2015,Export,Romania,168509.0
2015,Export,Russian Federation,3084547.0
2015,Export,Rwanda,367405.0
2015,Export,Sao Tome and Principe,253.0
2015,Export,Saudi Arabia,2849811.0
2015,Export,Senegal,16068245.0
2015,Export,Serbia,262707.0
2015,Export,Seychelles,4150.0
2015,Export,Sierra Leone,11336.0
2015,Export,Singapore,11683941.0
2015,Export,Slovakia,333.0
2015,Export,Slovenia,1163017.0
2015,Export,South Africa,47003977.0
2015,Export,Spain,212199172.0
2015,Export,Sri Lanka,20147.0
2015,Export,Sudan,314288.0
2015,Export,Sweden,58392.0
2015,Export,Switzerland,169540.0
2015,Export,Thailand,4664798.0
2015,Export,Togo,14974049.0
2015,Export,Trinidad and Tobago,1465.0
2015,Export,Tunisia,6398707.0
2015,Export,Türkiye,20596228.0
2015,Export,Uganda,201841.0
2015,Export,United Arab Emirates,8332884.0
2015,Export,United Kingdom,97368075.0
2015,Export,United Rep. of Tanzania,157073.0
2015,Export,United States,83164028.0
2015,Export,Venezuela,26700.0
2015,Export,Vietnam,89042444.0
2015,Export,Zambia,81814.0
2015,Export,Zimbabwe,25329.0
2015,Import,Afghanistan,463.0
2015,Import,Albania,169843.0
2015,Import,Algeria,1547959.0
2015,Import,American Samoa,102987.0
2015,Import,Andorra,10076.0
2015,Import,Angola,14339070.0
2015,Import,Antarctica,204.0
2015,Import,Antigua and Barbuda,20692189.0
2015,Import,"Areas, nes",2215.0
2015,Import,Argentina,49880168.0
2015,Import,Armenia,48042.0
2015,Import,Australia,4678238.0
2015,Import,Austria,10416910.0
2015,Import,Bahamas,1064.0
2015,Import,Bahrain,5858.0
2015,Import,Bangladesh,2435713.0
2015,Import,Barbados,2677.0
2015,Import,Belgium,110956876.0
2015,Import,Belize,2217129.0
2015,Import,Benin,1096877.0
2015,Import,Bolivia (Plurinational State of),153.0
2015,Import,Bosnia Herzegovina,179243.0
2015,Import,Brazil,111106156.0
2015,Import,Brunei Darussalam,84.0
2015,Import,Bulgaria,2127264.0
2015,Import,Burkina Faso,81234.0
2015,Import,Cabo Verde,1329.0
2015,Import,Cambodia,107218.0
2015,Import,Canada,61684016.0
2015,Import,Central African Rep.,105347.0
2015,Import,Chad,274313.0
2015,Import,Chile,2993793.0
2015,Import,China,1172904261.0
2015,Import,"China, Hong Kong SAR",15062646.0
2015,Import,"China, Macao SAR",645.0
2015,Import,Colombia,3547771.0
2015,Import,Comoros,1000.0
2015,Import,Congo,18671421.0
2015,Import,Costa Rica,8770009.0
2015,Import,Croatia,9358181.0
2015,Import,Cuba,1841.0
2015,Import,Curaçao,108447.0
2015,Import,Cyprus,1136821.0
2015,Import,Czechia,10509411.0
2015,Import,Côte d'Ivoire,79590442.0
2015,Import,Dem. People's Rep. of Korea,212789.0
2015,Import,Dem. Rep. of the Congo,33968.0
2015,Import,Denmark,9351976.0
2015,Import,Dominica,2727.0
2015,Import,Dominican Rep.,1085.0
2015,Import,Ecuador,633675.0
2015,Import,Egypt,28873625.0
2015,Import,El Salvador,85434.0
2015,Import,Equatorial Guinea,74161066.0
2015,Import,Eritrea,587.0
2015,Import,Estonia,6077445.0
2015,Import,Eswatini,80676.0
2015,Import,Ethiopia,20293.0
2015,Import,Faroe Isds,66648.0
2015,Import,Finland,13895465.0
2015,Import,France,619771328.0
2015,Import,French Polynesia,44.0
2015,Import,Gabon,1055584.0
2015,Import,Gambia,31806.0
2015,Import,Georgia,993228.0
2015,Import,Germany,216858427.0
2015,Import,Ghana,3857133.0
2015,Import,Gibraltar,593.0
2015,Import,Greece,37111736.0
2015,Import,Guam,86.0
2015,Import,Guatemala,5304556.0
2015,Import,Guinea-Bissau,1635546.0
2015,Import,Haiti,102028.0
2015,Import,Honduras,42601.0
2015,Import,Hungary,20449226.0
2015,Import,Iceland,63313.0
2015,Import,India,217884157.0
2015,Import,Indonesia,28259726.0
2015,Import,Iran,1429473.0
2015,Import,Ireland,53025659.0
2015,Import,Israel,2849138.0
