partner,total_balance_2015_2023,pct_years_deficit,pct_years_surplus,classification,total_bilateral_trade
China,-5096822304.755,100.0,0.0,persistent_deficit,15504136223.612999
France,-2615965764.3809996,100.0,0.0,persistent_deficit,7678009140.9609995
Thailand,-1955610824.664,100.0,0.0,persistent_deficit,1999320047.9039998
Nigeria,-1830133376.482,88.88888888888889,11.11111111111111,persistent_deficit,2587692037.048
Togo,-1414913508.359,100.0,0.0,persistent_deficit,1624817394.915
Germany,-1332116386.424,100.0,0.0,persistent_deficit,2352725220.802
Russian Federation,-1327542908.915,100.0,0.0,persistent_deficit,1588562541.717
Japan,-1227174340.889,100.0,0.0,persistent_deficit,1307162528.805
United States,-1102872368.9889998,88.88888888888889,11.11111111111111,persistent_deficit,3070567104.6330004
Türkiye,-1025122738.524,100.0,0.0,persistent_deficit,1876256542.894
United Arab Emirates,-876643220.852,100.0,0.0,persistent_deficit,1014203889.2520001
Rep. of Korea,-792823523.118,88.88888888888889,11.11111111111111,persistent_deficit,1097354386.948
Brazil,-768858143.783,100.0,0.0,persistent_deficit,865006998.7969999
Morocco,-707733863.599,100.0,0.0,persistent_deficit,746399533.881
Mauritania,-653531532.451,100.0,0.0,persistent_deficit,656562336.8610001
Ukraine,-598897889.884,66.66666666666666,0.0,persistent_deficit,599360005.382
Côte d'Ivoire,-577366816.366,100.0,0.0,persistent_deficit,707787573.828
Argentina,-577322187.749,100.0,0.0,persistent_deficit,615293812.349
Belgium,-569093202.0620002,55.55555555555556,44.44444444444444,persistent_deficit,3474599389.37
Egypt,-504738302.9969999,100.0,0.0,persistent_deficit,532233620.663
South Africa,-444630998.2390001,77.77777777777779,22.22222222222222,persistent_deficit,945141866.091
Poland,-411023579.893,100.0,0.0,persistent_deficit,447752059.38699996
Switzerland,-356255376.382,100.0,0.0,persistent_deficit,362124839.75
United Kingdom,-350326444.248,77.77777777777779,22.22222222222222,persistent_deficit,1288571354.424
Singapore,-343240055.391,88.88888888888889,11.11111111111111,persistent_deficit,533486986.34099996
Norway,-332035335.26100004,77.77777777777779,22.22222222222222,persistent_deficit,554218769.707
Canada,-324921040.331,77.77777777777779,22.22222222222222,persistent_deficit,702970759.2770001
Saudi Arabia,-284395276.374,100.0,0.0,persistent_deficit,331231288.404
Ireland,-250885318.46099997,100.0,0.0,persistent_deficit,358552622.041
Equatorial Guinea,-235198590.66599998,77.77777777777779,22.22222222222222,persistent_deficit,555958839.244
Tunisia,-233397964.20299998,100.0,0.0,persistent_deficit,265598247.457
India,-228124888.76200002,55.55555555555556,44.44444444444444,persistent_deficit,6939375863.2
Greece,-219365072.20100003,100.0,0.0,persistent_deficit,266764866.57900003
Sweden,-181343401.246,100.0,0.0,persistent_deficit,187722648.516
Guinea,-177442584.343,55.55555555555556,22.22222222222222,persistent_deficit,185650059.065
Finland,-168908181.85900003,100.0,0.0,persistent_deficit,191552041.16099998
New Zealand,-162394003.229,88.88888888888889,11.11111111111111,persistent_deficit,236374049.85300002
Oman,-158739166.63099998,88.88888888888889,11.11111111111111,persistent_deficit,163352071.095
Liberia,-152301012.079,88.88888888888889,11.11111111111111,persistent_deficit,165349695.153
Algeria,-143894148.47599998,66.66666666666666,33.33333333333333,persistent_deficit,246652915.852
Angola,-138369721.264,100.0,0.0,persistent_deficit,166416214.338
"Other Asia, nes",-132566979.167,77.77777777777779,22.22222222222222,persistent_deficit,361290948.493
Myanmar,-126364243.235,100.0,0.0,persistent_deficit,126626307.401
Saint Barthélemy,-117758616.71699998,88.88888888888889,0.0,persistent_deficit,117759052.39700001
Estonia,-99099485.05299999,100.0,0.0,persistent_deficit,106528350.397
Antigua and Barbuda,-97096748.887,88.88888888888889,0.0,persistent_deficit,98267694.781
"China, Hong Kong SAR",-91516202.63000001,100.0,0.0,persistent_deficit,93533854.35799998
Czechia,-90979254.50800002,100.0,0.0,persistent_deficit,93781636.438
Mexico,-89431334.43599999,100.0,0.0,persistent_deficit,120486007.11400001
Austria,-83053089.17199999,100.0,0.0,persistent_deficit,88142558.696
Hungary,-81133178.78,88.88888888888889,11.11111111111111,persistent_deficit,198411826.062
Uruguay,-77470482.638,100.0,0.0,persistent_deficit,106932820.43
Denmark,-77437278.12,100.0,0.0,persistent_deficit,100605018.682
Peru,-66280833.326,100.0,0.0,persistent_deficit,67157387.632
Jamaica,-66145952.02199999,88.88888888888889,0.0,persistent_deficit,66184708.022
Namibia,-66009190.499,77.77777777777779,0.0,persistent_deficit,73412072.477
Chile,-65383879.897,100.0,0.0,persistent_deficit,65615249.075
Lithuania,-65240994.357,100.0,0.0,persistent_deficit,77308814.08899999
Latvia,-59775354.519,100.0,0.0,persistent_deficit,60380343.791
Qatar,-55929564.661,100.0,0.0,persistent_deficit,61085305.499
Pakistan,-55296328.772999994,66.66666666666666,33.33333333333333,persistent_deficit,174210096.773
Romania,-50670329.018,100.0,0.0,persistent_deficit,70492391.898
Lebanon,-49408240.883999996,100.0,0.0,persistent_deficit,79041658.444
