partner,total_exports,pct_share_exports
Netherlands,5807682624.033,16.421634568987013
China,5203656959.429,14.713709157675826
India,3355625487.219,9.488269085755107
Italy,3009489370.834,8.50954466460972
France,2531021688.29,7.156643353630125
Spain,2203986299.6879997,6.23192759514067
Belgium,1452753093.654,4.107762418736434
Chad,1192439568.824,3.3717074627659436
Bangladesh,1157974060.4060001,3.274253793012601
United States,983847367.822,2.78189821860707
Malaysia,848518256.291,2.3992455566121675
Vietnam,825161574.492,2.333202882093404
Indonesia,536199587.43799996,1.516142367096815
Portugal,521600670.386,1.4748628936044401
Germany,510304417.189,1.4429219364260557
