partner,total_imports,pct_share_imports
China,10300479264.184,17.878175818356365
France,5146987452.671,8.93344321692744
India,3583750375.981,6.22018817451255
Nigeria,2208912706.765,3.8339312886403456
United States,2086719736.811,3.621845292972085
Belgium,2021846295.716,3.5092467666228275
Thailand,1977465436.284,3.432216486036373
Germany,1842420803.613,3.197824316090215
Netherlands,1650346571.31,2.864447896681356
Spain,1547108455.4320002,2.6852611676482248
Togo,1519865451.637,2.6379764540756523
Russian Federation,1458052725.316,2.5306903015932773
Türkiye,1450689640.709,2.5179104572973814
Italy,1325994557.8,2.3014816330888572
Japan,1267168434.8470001,2.199379221939613
