partner,total_exports,total_imports,total_bilateral_trade,pct_share_total_trade
China,5203656959.429,10300479264.184,15504136223.612999,16.67454465460485
France,2531021688.29,5146987452.671,7678009140.9609995,8.257622639075576
Netherlands,5807682624.033,1650346571.31,7458029195.343,8.021036390514476
India,3355625487.219,3583750375.981,6939375863.2,7.463229878604023
Italy,3009489370.834,1325994557.8,4335483928.634,4.662769942463955
Spain,2203986299.6879997,1547108455.4320002,3751094755.12,4.034265185482658
Belgium,1452753093.654,2021846295.716,3474599389.37,3.7368971633952404
United States,983847367.822,2086719736.811,3070567104.6330004,3.3023644505383642
Nigeria,378779330.283,2208912706.765,2587692037.048,2.7830371071176745
Germany,510304417.189,1842420803.613,2352725220.802,2.5303326279170113
Thailand,21854611.619999997,1977465436.284,1999320047.9039998,2.150248871449422
Türkiye,425566902.185,1450689640.709,1876256542.894,2.0178952930207084
Togo,104951943.278,1519865451.637,1624817394.915,1.7474749845028947
Russian Federation,130509816.40100001,1458052725.316,1588562541.717,1.7084832496601963
Malaysia,848518256.291,584814351.164,1433332607.455,1.5415349957716018
Japan,39994093.958000004,1267168434.8470001,1307162528.805,1.4058403282208698
United Kingdom,469122455.088,819448899.336,1288571354.424,1.3858457046619386
Chad,1192439568.824,45266131.839,1237705700.6629999,1.3311401988026887
Bangladesh,1157974060.4060001,27280134.126,1185254194.532,1.2747291244565668
Rep. of Korea,152265431.915,945088955.033,1097354386.948,1.1801937536657503
Vietnam,825161574.492,212621187.351,1037782761.8429999,1.1161250620189465
United Arab Emirates,68780334.2,945423555.052,1014203889.2520001,1.090766218530132
South Africa,250255433.926,694886432.165,945141866.091,1.0164906979512052
Portugal,521600670.386,368346924.191,889947594.5769999,0.9571298066532501
Brazil,48074427.507,816932571.29,865006998.7969999,0.9303064433876024
Indonesia,536199587.43799996,328071610.055,864271197.493,0.929515096386808
Morocco,19332835.141000003,727066698.74,746399533.881,0.8027452918608751
Côte d'Ivoire,65210378.731,642577195.097,707787573.828,0.7612185119861603
Canada,189024859.47300002,513945899.804,702970759.2770001,0.7560380757357826
Gabon,412646528.895,258434787.338,671081316.233,0.721741296193959
Mauritania,1515402.2049999998,655046934.656,656562336.8610001,0.7061262779571492
Argentina,18985812.3,596308000.049,615293812.349,0.6617423893689567
Ukraine,231057.749,599128947.633,599360005.382,0.6446057380936377
Equatorial Guinea,160380124.289,395578714.955,555958839.244,0.5979282145997582
Norway,111091717.223,443127052.48399997,554218769.707,0.5960567870801371
Singapore,95123465.475,438363520.866,533486986.34099996,0.5737599597999776
Egypt,13747658.833,518485961.83,532233620.663,0.5724119774509494
Senegal,237022327.089,281774844.302,518797171.391,0.5579612095943003
Congo,297517987.812,220128524.70200002,517646512.514,0.5567236873905459
Central African Rep.,452666799.991,3502570.964,456169370.955,0.490605631706685
Poland,18364239.747,429387819.64,447752059.38699996,0.4815528966437296
Switzerland,2934731.684,359190108.066,362124839.75,0.38946167163809114
"Other Asia, nes",114361984.663,246928963.82999998,361290948.493,0.388564829866232
